"video_id","uploader","interval","category","length","views","rating","total_rating","comments","related_id"
"emYZclXFzVY","mrblue37","790","Entertainment","120","20760","3.94","67","150","h0awf4sinso"
"WsxAtTeEyag","leitjaxon","1111","Nonprofits & Activism","182","579","5.0","1","5","mHWup7ifW2M"
"dAn9HL0tQT0","unicef","765","News & Politics","94","889","5.0","5","1",""
"#NAME?","P00KYL0VE","1111","Travel & Events","166","128","0.0","0","0",""
"LQwLexli8oI","enricoantonacci","1030","Education","300","308","5.0","1","1","mHWup7ifW2M"
"DiaZC7HRsx0","ECF234","1121","Nonprofits & Activism","31","2255","4.8","5","2","yxJi9UnTypQ"
"cvTRH1uUG_0","Lara007","411","Entertainment","70","21924","4.82","55","20","DwDy-mEJ3mU"
"WdY1Mow8YJA","UNICEFUSA","716","News & Politics","60","6027","5.0","12","4","rA930U2ruGk"
"hjHaRZYXK-g","UNICEFUSA","1108","Nonprofits & Activism","60","838","4.2","10","5","mHWup7ifW2M"
"X1K9QW51gYI","ReelNASA","1100","Autos & Vehicles","167","26240","4.89","45","41","qQkqCCRAa38"
"ybD6Vsytw_o","akivids","1087","Science & Technology","278","7312","3.77","13","11","96Th2pVQqyU"
"evc3AVDFjno","tvspace","1100","Science & Technology","597","6059","4.71","14","6","fv2aCokVcHI"
"HL8QAJz-GX4","jackbuster","1087","News & Politics","399","4716","4.43","14","6","toprWgDNLK4"
"lehfkYci1cM","squishydemon","1090","Science & Technology","47","6904","4.89","9","4","pQg1tpza5R4"
"54rYZAjI9eQ","ReelNASA","1092","Music","107","5035","3.73","11","4","ARdX6Uf2K4s"
"m8RQN7mBQh8","kilian2","1088","Science & Technology","562","1937","5.0","1","2","YApZTHmgXsI"
"t03P5WfWj34","ReelNASA","1091","Autos & Vehicles","235","4063","4.58","12","1","4RSnOiMVfHk"
"FxFOm8BC4GE","ReelNASA","914","Travel & Events","147","800295","4.62","1576","1852","S5725Etc4bI"
"8o72MzrgFiU","ReelNASA","1087","Autos & Vehicles","599","17824","5.0","40","41","78ChatsRe6Y"
"5YsZ9__9KlA","ReelNASA","1122","Music","88","1835","4.85","13","2","W0fArNhU5l8"
"S_wcJZUO6y0","mrhailey","958","Film & Animation","9","1267","5.0","3","0","#NAME?"
"4RSnOiMVfHk","ReelNASA","1090","Autos & Vehicles","570","26136","4.91","35","29","C-K27BNNM9U"
"4pcaFcc9KKo","bcirce","1091","Travel & Events","436","567","5.0","2","0",""
"waKIrtihdq0","spacearium","1107","Science & Technology","166","1672","3.5","2","2",""
"c6xjsaCmmd0","squishydemon","1090","Science & Technology","653","1255","4.25","4","0","lehfkYci1cM"
"sfJFBcF_6cE","rajuv","825","Howto & Style","313","49066","4.67","24","18","qqATtAGS8uc"
"kw5-n5Js6DM","tvspace","554","Howto & Style","310","133708","4.65","224","172","aCLHJ0YUAC4"
"IXTVju0bSdE","ReelNASA","1122","Music","99","3867","4.57","14","3","6_jR-oG1eQk"
"ge_uzCSbPg0","ReelNASA","1093","People & Blogs","89","3960","5.0","5","2","54rYZAjI9eQ"
"HRuj1PkhdCg","jacobgolden","1081","Music","217","9880","4.89","61","63","5ufSM3WRniE"
"U7Rk2QBjF_c","jacobgolden","1055","Music","195","3625","4.74","19","17","Sif8961lLI4"
"muUiLVraGGs","jacobgolden","1055","Music","128","3583","4.59","17","17",""
"qnevxJSc64M","jacobgolden","568","Music","273","5663","4.83","29","27",""
